id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kondisi_tanaman,luas_tanaman,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,TBM,0,HEKTAR,2016
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,TM,0,HEKTAR,2016
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,TR/TTM,0,HEKTAR,2016
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TBM,849,HEKTAR,2016
5,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TM,4015,HEKTAR,2016
6,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TR/TTM,487,HEKTAR,2016
7,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TBM,142,HEKTAR,2016
8,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TM,956,HEKTAR,2016
9,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TR/TTM,286,HEKTAR,2016
10,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TBM,0,HEKTAR,2016
11,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TM,0,HEKTAR,2016
12,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TR/TTM,0,HEKTAR,2016
13,32,JAWA BARAT,3205,KABUPATEN GARUT,TBM,995,HEKTAR,2016
14,32,JAWA BARAT,3205,KABUPATEN GARUT,TM,3743,HEKTAR,2016
15,32,JAWA BARAT,3205,KABUPATEN GARUT,TR/TTM,342,HEKTAR,2016
16,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TBM,135,HEKTAR,2016
17,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TM,1245,HEKTAR,2016
18,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TR/TTM,362,HEKTAR,2016
19,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TBM,970,HEKTAR,2016
20,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TM,2347,HEKTAR,2016
21,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TR/TTM,119,HEKTAR,2016
22,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TBM,0,HEKTAR,2016
23,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TM,0,HEKTAR,2016
24,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TR/TTM,0,HEKTAR,2016
25,32,JAWA BARAT,3209,KABUPATEN CIREBON,TBM,0,HEKTAR,2016
26,32,JAWA BARAT,3209,KABUPATEN CIREBON,TM,0,HEKTAR,2016
27,32,JAWA BARAT,3209,KABUPATEN CIREBON,TR/TTM,0,HEKTAR,2016
